test_id,thresh_4,thresh_8,avg_latency,avg_sr,early_exit_rate,sr_simple,sr_medium,sr_complex,failure_rate,failure_rate_simple,failure_rate_medium,failure_rate_complex,throughput,peak_memory
T01,0.05,0.10,78.0,75.0,95.0,88.0,75.0,62.0,25.0,8.0,25.0,42.0,5.00,3.5
T02,0.10,0.15,86.0,78.0,93.0,90.0,78.0,66.0,22.0,7.0,22.0,38.0,4.55,3.6
T03,0.15,0.20,94.0,81.0,91.0,91.0,81.0,70.0,19.0,6.0,19.0,34.0,4.17,3.6
T04,0.20,0.25,103.0,84.0,89.0,92.0,84.0,74.0,16.0,5.0,16.0,30.0,3.85,3.7
T05,0.25,0.30,111.0,85.5,87.0,92.5,85.5,76.0,14.0,4.5,14.0,27.0,3.57,3.7
T06,0.30,0.35,119.0,87.0,85.0,93.0,87.0,78.0,12.0,4.0,12.0,24.0,3.33,3.7
T07,0.35,0.40,128.0,87.5,83.0,93.2,87.5,78.5,11.0,3.8,11.0,22.0,3.13,3.8
T08,0.40,0.45,136.0,88.0,81.0,93.4,88.0,79.0,10.0,3.6,10.0,20.0,2.94,3.8
T09,0.45,0.50,144.0,88.5,79.0,93.6,88.5,79.5,9.0,3.4,9.0,18.0,2.78,3.8
T10,0.50,0.55,152.0,89.0,77.0,93.8,89.0,80.0,8.0,3.2,8.0,16.0,2.63,3.9
T11,0.55,0.60,161.0,89.5,75.0,94.0,89.5,80.5,7.0,3.0,7.0,14.0,2.50,3.9
T12,0.60,0.65,169.0,90.0,73.0,94.2,90.0,81.0,6.0,2.8,6.0,12.0,2.38,3.9
T13,0.65,0.70,177.0,91.0,70.0,94.4,91.0,82.0,5.5,2.6,5.5,11.0,2.27,4.0
T14,0.70,0.75,185.0,92.0,67.0,94.6,92.0,84.0,5.0,2.4,5.0,9.6,2.17,4.0
T15,0.75,0.80,194.0,94.0,63.0,94.8,94.0,86.0,4.0,1.8,4.0,7.2,2.08,4.1
T16,0.80,0.85,202.0,96.0,58.0,95.0,96.0,88.0,3.0,1.2,3.0,5.8,2.00,4.1
T17,0.85,0.90,285.0,97.5,40.0,94.9,97.5,90.0,2.0,1.0,2.0,3.0,1.43,4.2
T18,0.90,0.95,388.0,98.5,25.0,94.8,98.5,92.0,1.5,0.8,1.5,2.2,1.05,4.3
T19,0.95,1.00,450.0,98.8,10.0,94.7,98.8,94.0,1.2,0.7,1.2,1.7,0.91,4.5
